"SKU","Brand","Category","Name"
"T2248","Fără brand","instrumente","Lampa T5"
"T1375","Fără brand","sprancene","Macro Brush 10buc."
"T0882","Fără brand","accesuare","Magnet"
"T0883","Fără brand","accesuare","Magnet 4IN1"
"T0887","Fără brand","accesuare","Magnet cu maner din selicon"
"T0884","Fără brand","accesuare","Magnet Dublu"
"T0886","Fără brand","accesuare","Magnet Mini"
"T1776","Fără brand","materiale","Masti Pentru Fata 50buc. Albi"
"T1775","Fără brand","materiale","Masti Pentru Fata 50buc. Negre"
"3023","Fără brand","materiale","Masti Pentru Fata 50buc. Violet"
"3109","Fără brand","design","Mini Caviar Argintiu"
"3108","Fără brand","design","Mini Caviar Black"
"3107","Fără brand","design","Mini Caviar Gold"
"3106","Fără brand","design","Mini Caviar Roz"
"2934","Fără brand","design","Nail Mania AERO-set pentru ombre"
"3144","Fără brand","epilare","NUDE Wax sur 1kg"
"T2254","Fără brand","tehnica","Parathine Wax  Equipment"
"T1582","Fără brand","sprancene","Patch pentru gene set 50 buc."
"T1928","Fără brand","accesuare","Perie pentru praf cu maner"
"T1925","Fără brand","accesuare","Perie pentru praf mini"
"T1932","Fără brand","accesuare","Perie pentru praf mini"
"3056","Fără brand","accesuare","Pinceta pentru curbura"
"T2259","Fără brand","tehnica","Pupinel SM-C12"
"3110","Fără brand","design","Recipient pentry crystale"
"T1802","Fără brand","materiale","Sef manusi 100buc. negre L"
"T1803","Fără brand","materiale","Sef manusi 100buc. negre M"
"T1804","Fără brand","materiale","Sef manusi 100buc. negre S"
"T1805","Fără brand","materiale","Sef manusi 100buc. negre XS"
"T1810","Fără brand","materiale","Sef manusi 100buc. roz S"
"T1811","Fără brand","materiale","Sef manusi 100buc. roz XS"
"3091","Fără brand","pedichiura","Separator pentru degete pedi unica folosinta 100buc."
"3090","Fără brand","pedichiura","Separator pentru degete pedi unica folosinta 6buc."
"T1815","Fără brand","materiale","Servetele 1000buc."
"2962","Fără brand","materiale","Servetele China 1000buc."
"2968","Fără brand","pedichiura","Slapi de unica folosinta 1 pereche"
"2967","Fără brand","pedichiura","Slapi de unica folosinta 12 perechi"
"T0017","Fără brand","sterilizare","Solutie AHD 2000 Ultra 1000ml"
"T1817","Fără brand","materiale","Spatule in cutie 100buc."
"2929","Fără brand","accesuare","Suport pentru mana chrome negru"
"2961","Fără brand","accesuare","Suport pentru mana chrome sur"
"2930","Fără brand","accesuare","Suport pentru mana din lemn alb"
"2931","Fără brand","accesuare","Suport pentru mana din lemn negru"
"T0900","Fără brand","accesuare","Tava ovala pentru instrumente argintie M"
"T0902","Fără brand","accesuare","Tava ovala pentru instrumente argintie S"
"T0901","Fără brand","accesuare","Tava ovala pentru instrumente aurie M"
"T0903","Fără brand","accesuare","Tava ovala pentru instrumente aurie S"
"T0904","Fără brand","accesuare","Tava pentru instrumente L"
"T0905","Fără brand","accesuare","Tava pentru instrumente M"
"T0906","Fără brand","accesuare","Tava pentru instrumente S"
"T0913","Fără brand","accesuare","Tipse pe inel 50 buc. transparente patrat"
"T0914","Fără brand","accesuare","Tipse pe inel 50 buc. transparente stilet"
"T0983","Fără brand","tehnica","Topitor de ceara classes style"
"T0982","Fără brand","tehnica","Topitor de ceara classes style dublu"
"T0985","Fără brand","tehnica","Topitor de ceara din selicon"
"T0984","Fără brand","tehnica","Topitor de ceara din selicon dublu"
"T0986","Fără brand","tehnica","Topitor de ceara SM-501A"
"T2200","Furman","solutii","FURMAN solutie hemostatica 33ml"
"3034","Global Fashion","design","Global Fashion Air Cushion 8g №01"
"3035","Global Fashion","design","Global Fashion Air Cushion 8g №02"
"3036","Global Fashion","design","Global Fashion Air Cushion 8g №03"
"3037","Global Fashion","design","Global Fashion Air Cushion 8g №04"
"3038","Global Fashion","design","Global Fashion Air Cushion 8g №06"
"3039","Global Fashion","design","Global Fashion Air Cushion 8g №07"
"3040","Global Fashion","design","Global Fashion Air Cushion 8g №08"
"3041","Global Fashion","design","Global Fashion Air Cushion 8g №09"
"3042","Global Fashion","design","Global Fashion Air Cushion 8g №10"
"3043","Global Fashion","design","Global Fashion Air Cushion 8g №11"
"3044","Global Fashion","design","Global Fashion Air Cushion 8g №12"
"3137","Ledme","instrumente","Lampa Ledme Model One"
"T1949","MP","materiale","MP Buff MF-03 180\180"
"T1947","MP","materiale","MP Buff MF-70 80\80"
"T1907","MP","accesuare","MP pensula MPCL-505"
"T1919","MP","accesuare","MP pensula ombre MPCL-63"
"T1961","MP","materiale","MP pila picatura 1buc. 100/180"
"T2015","Neoseptin","sterilizare","Solutie sterilizare Neoseptin 250ml"
"3184","NUDE","epilare","NUDE Body Scrub 250ml  Almond"
"3185","NUDE","epilare","NUDE Body Scrub 250ml  Argila"
"3186","NUDE","epilare","NUDE Body Scrub 250ml  Sare de mare"
"3181","NUDE","epilare","NUDE Fluid post epilare 350ml"
"3180","NUDE","epilare","NUDE Fluid post epilare 350ml Mango"
"3182","NUDE","epilare","NUDE Fluid post epilare 350ml Visina"
"3177","NUDE","epilare","NUDE Lotion 350ml"
"3178","NUDE","epilare","NUDE Lotion 350ml №Mango"
"3179","NUDE","epilare","NUDE Lotion 350ml №Visina"
"3176","NUDE","epilare","NUDE Massage Oil 1000ml"
"3183","NUDE","epilare","NUDE SOS Mask 200ml"
"3146","NUDE","epilare","NUDE Wax alb 1kg"
"3145","NUDE","epilare","NUDE Wax oranj 1kg"
"3147","NUDE","epilare","NUDE Wax roz 1kg"
"3192","NUDE","epilare","NUDE Wax roz 50g"
"3103","OPI","materiale","OPI Pila 150/220"
"T2284","Ritz","accesuare","Ritz Plastic Nail Forms Natural Square"
"3060","Ritz","accesuare","Ritz Plastic Nail Forms Square"
"T2285","Ritz","accesuare","Ritz Plastic Nail Forms Stiletto"
"3122","Staleks","accesuare","Staleks pensula №Dubla"
"3010","Staleks","materiale","Staleks PILA 100/150"
"T2018","Staleks","sterilizare","Staleks solutie sterilizare Nano Steril 1000ml"
"2943","Starlet","lichide","Starlet Polygel solution 50ml"
"2945","Starlet","accesuare","Starlet sabloane negri 300buc."
"2946","Starlet","accesuare","Starlet sabloane plastic 300buc."
"T2287","Starlet","accesuare","Starlet sabloane verzi 10 buc."
"T2221","Strong","tehnica","Freza Electrica STRONG 725 ONE  40rpm 65W"
"T2243","SUN Replica","instrumente","Lampa SUN S9"
"T0868","Total Beauty","lichide","Total Beauty Cleanser 3in1 100ml"
"T0869","Total Beauty","lichide","Total Beauty Cleanser 3in1 250ml"
"T0870","Total Beauty","lichide","Total Beauty Cleanser 3in1 500ml"
"T1024","Wonderfile","materiale","Wonderfile Buff 65x18mm 180grit 50buc."
"T1025","Wonderfile","materiale","Wonderfile Buff 65x18mm 240grit 50buc."
"T1026","Wonderfile","materiale","Wonderfile Buff 65x18mm super shine polisher 50buc."
"T0220","Wonderfile","bituri","Wonderfile Capete de freza lacrima 3B"
"T0221","Wonderfile","bituri","Wonderfile Capete de freza lacrima 3R"
"2938","Wonderfile","bituri","Wonderfile Capete de freza pedi 4R"
"T0222","Wonderfile","bituri","Wonderfile Capete de freza pedi 5B"
"T0223","Wonderfile","bituri","Wonderfile Capete de freza pedi 5R"
"T1058","Wonderfile","materiale","Wonderfile pile+foarfeca 7m 150grit"
"T1059","Wonderfile","materiale","Wonderfile pile+foarfeca 7m 180grit"
"2936","Wonderfile","materiale","Wonderfile Podo File 50buc. 120G soft"
"2935","Wonderfile","materiale","Wonderfile Podo File 50buc. 120grit thin"
"T1044","Wonderfile","materiale","Wonderfile Podo File 50buc. 150G soft"
"T1043","Wonderfile","materiale","Wonderfile Podo File 50buc. 150G thin"
"T1046","Wonderfile","materiale","Wonderfile Podo File 50buc. 180G soft"
"T1045","Wonderfile","materiale","Wonderfile Podo File 50buc. 180G thin"
"T1048","Wonderfile","materiale","Wonderfile Podo File 50buc. 240G soft"
"T1047","Wonderfile","materiale","Wonderfile Podo File 50buc. 240G thin"
"T1049","Wonderfile","materiale","Wonderfile Podo File 50buc. 320G soft"
"T1050","Wonderfile","materiale","Wonderfile Podo File 50buc. 80G thin"
