;;;;;;
;;;;;;
;cod;denumire;grupa;pretul;descriere;brand
;T0056;DNK'a Cover  Base 12ml №0033 Esthetic;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0057;DNK'a Cover  Base 12ml №0034 Modest;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0058;DNK'a Cover  Base 12ml №0035 Perfectionist;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0059;DNK'a Cover  Base 12ml №0036 Elegant;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0060;DNK'a Cover  Base 12ml №0037 Cute;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0061;DNK'a Cover  Base 12ml №0037A Supreme;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0062;DNK'a Cover  Base 12ml №0038 Flirty;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0063;DNK'a Cover  Base 12ml №0039 Sensual;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0064;DNK'a Cover  Base 12ml №0039A Different;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0065;DNK'a Cover  Base 12ml №0040 Romantic;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0066;DNK'a Cover  Base 12ml №0043 Faithul;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0067;DNK'a Cover  Base 12ml №0045 Star;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0068;DNK'a Cover  Base 12ml №0057 Candy;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0069;DNK'a Cover  Base 12ml №0059 Smart;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0070;DNK'a Cover  Base 12ml №0061 Confetti;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0071;DNK'a Cover  Base 12ml №0062 Mellow;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0072;DNK'a Cover  Base 12ml №0063 Inspiration;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0073;DNK'a Cover  Base 12ml №0065 Kiss;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0074;DNK'a Cover  Base 12ml №0067 Holiday;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0075;DNK'a Cover  Base 12ml №0069 RelaX;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0076;DNK'a Cover  Base 12ml №0070 Lotus;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0077;DNK'a Cover  Base 12ml №0071 Saphire;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0078;DNK'a Cover  Base 12ml №0073 Flamingo;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0079;DNK'a Cover  Base 12ml №0075 Risky;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0080;DNK'a Cover  Base 12ml №0076 Aperol;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0081;DNK'a Cover  Base 12ml №0094 Prosseco;Baze;165;DNK'a Cover Base – baze colorate de camuflaj de înaltă calitate, cu formulă inovatoare pentru acoperire rapidă și uniformă a unghiei naturale. Autonivelante, cu densitate și rigiditate medie, se aplică ușor, oferind luciu perfect și rezistență 3-4 săptămâni fără ciobire sau decojire. Fiecare flacon are ghid de culoare pentru alegerea rapidă.;DNK'a
;T0990;Baza Metalica pentru Pila Wonderfile pile 160x18;Materiale de unica folosinta;85;Bază profesională din metal, compatibilă cu fișele Wonderfile. Asigură prindere sigură și stabilă a fișelor, oferind confort și precizie în timpul manichiurii.;Wonderfile
;T0991;Baza Metalica pentru Pila Wonderfile pile 162x24;Materiale de unica folosinta;110;Bază profesională din metal, compatibilă cu fișele Wonderfile. Asigură prindere sigură și stabilă a fișelor, oferind confort și precizie în timpul manichiurii.;Wonderfile
;T0992;Baza din Lemn pentru Pila Wonderfile pile 160x18;Materiale de unica folosinta;70;Bază profesională din lemn, compatibilă cu fișele Wonderfile. Asigură prindere sigură și stabilă a fișelor, oferind confort și precizie în timpul manichiurii.;Wonderfile
;T0993;Baza din Lemn pentru Pila Wonderfile pile 162x24;Materiale de unica folosinta;85;Bază ușoară și ergonomică, compatibilă cu pile de unghii de unică folosință, pentru o manichiură igienică și confortabilă. Cântărește doar 5 g, fiind cea mai ușoară bază reutilizabilă de pe piața baltică!;Wonderfile
;T1060;BeeNails  Builder Gel lichid 15ml №01;Alungire;145;Lichid profesional pentru modelarea unghiilor cu gel, ideal pentru întărire, corecție și reconstrucție. Asigură o aplicare ușoară, auto-netezire și rezultate durabile.;BeeNails
;T1061;BeeNails  Builder Gel lichid 15ml №02;Alungire;145;Lichid profesional pentru modelarea unghiilor cu gel, ideal pentru întărire, corecție și reconstrucție. Asigură o aplicare ușoară, auto-netezire și rezultate durabile.;BeeNails
;T1062;BeeNails  Builder Gel lichid 15ml №03;Alungire;145;Lichid profesional pentru modelarea unghiilor cu gel, ideal pentru întărire, corecție și reconstrucție. Asigură o aplicare ușoară, auto-netezire și rezultate durabile.;BeeNails
;T1063;BeeNails  Builder Gel lichid 15ml №04;Alungire;145;Lichid profesional pentru modelarea unghiilor cu gel, ideal pentru întărire, corecție și reconstrucție. Asigură o aplicare ușoară, auto-netezire și rezultate durabile.;BeeNails
;T1064;BeeNails  Builder Gel lichid 15ml №05;Alungire;145;Lichid profesional pentru modelarea unghiilor cu gel, ideal pentru întărire, corecție și reconstrucție. Asigură o aplicare ușoară, auto-netezire și rezultate durabile.;BeeNails
;T1065;BeeNails  Builder Gel lichid 15ml №06;Alungire;145;Lichid profesional pentru modelarea unghiilor cu gel, ideal pentru întărire, corecție și reconstrucție. Asigură o aplicare ușoară, auto-netezire și rezultate durabile.;BeeNails
;T1066;BeeNails  Builder Gel lichid 15ml №07;Alungire;145;Lichid profesional pentru modelarea unghiilor cu gel, ideal pentru întărire, corecție și reconstrucție. Asigură o aplicare ușoară, auto-netezire și rezultate durabile.;BeeNails
